"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01,…,3299999.99"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",13,"0100001.01.01,…,3299999.99.99"
"Control de vivienda (UPM)","UPM","Carácter",7,"0100001,…,3299999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,…,99"
"Control del hogar","HOGAR","Carácter",2,"01,…,06"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"A"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"B"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"C"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"D"
"Número de renglón del (la) informante","N_INF","Carácter",2,"01,…,30"
"Número de renglón del (la) informante","N_INF","Carácter",2,"b"
"Número de renglón de la persona seleccionada","R_SEL","Carácter",2,"01,…,30"
"Clave Entidad","CVE_ENT","Carácter",2,"01,…,32"
"Nombre de la Entidad","NOM_ENT","Texto",250,"NA"
"Clave Municipio","CVE_MUN","Carácter",3,"001,…,570"
"Nombre del municipio","NOM_MUN","Texto",250,"NA"
"Total de personas en el hogar","TOT_PER","Carácter",2,"01,…,30"
"Factor hogar","FAC_HOG","Numérico",6,"000001,…,999999"
"Factor hogar del área urbana de interés","FAC_HOG_AM","Numérico",6,"000001,…,999999"
"Dominio","DOMINIO","Alfanumérico",1,"U"
"Dominio","DOMINIO","Alfanumérico",1,"C"
"Dominio","DOMINIO","Alfanumérico",1,"R"
"Estrato muestral","EST_DIS","Carácter",3,"001,…,607"
"Unidad primaria de muestreo","UPM_DIS","Carácter",7,"0000001,…,9999999"
