"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de la vivienda","ID_VIV","Alfanumérico",10,"0100001.01,…,3299999.99"
"Identificador del hogar","ID_HOG","Alfanumérico",13,"0100001.01.01,…,3299999.99.99"
"Identificador del informante seleccionado","ID_PER","Alfanumérico",16,"0100001.01.01.01,…,3299999.99.99.30"
"Control de vivienda (UPM)","UPM","Carácter",7,"0100001,…,3299999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,…,99"
"Control del hogar","HOGAR","Carácter",2,"01,…,06"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"A"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"B"
"Número de renglón de la persona seleccionada","R_SEL","Carácter",2,"01,…,30"
"Sexo","SEXO","Numérico",1,"1"
"Sexo","SEXO","Numérico",1,"2"
"Edad","EDAD","Numérico",2,"18,…,96"
"Edad","EDAD","Numérico",2,"97"
"Edad","EDAD","Numérico",2,"98"
"Área Urbana de Interés","AREAM","Carácter",2,"01"
"Área Urbana de Interés","AREAM","Carácter",2,"02"
"Área Urbana de Interés","AREAM","Carácter",2,"03"
"Área Urbana de Interés","AREAM","Carácter",2,"04"
"Área Urbana de Interés","AREAM","Carácter",2,"05"
"Área Urbana de Interés","AREAM","Carácter",2,"06"
"Área Urbana de Interés","AREAM","Carácter",2,"07"
"Área Urbana de Interés","AREAM","Carácter",2,"08"
"Área Urbana de Interés","AREAM","Carácter",2,"09"
"Área Urbana de Interés","AREAM","Carácter",2,"10"
"Área Urbana de Interés","AREAM","Carácter",2,"12"
"Área Urbana de Interés","AREAM","Carácter",2,"13"
"Área Urbana de Interés","AREAM","Carácter",2,"14"
"Área Urbana de Interés","AREAM","Carácter",2,"15"
"Área Urbana de Interés","AREAM","Carácter",2,"16"
"Área Urbana de Interés","AREAM","Carácter",2,"17"
"Área Urbana de Interés","AREAM","Carácter",2,"18"
"Área Urbana de Interés","AREAM","Carácter",2,"19"
"Área Urbana de Interés","AREAM","Carácter",2,"21"
"Área Urbana de Interés","AREAM","Carácter",2,"24"
"Área Urbana de Interés","AREAM","Carácter",2,"25"
"Área Urbana de Interés","AREAM","Carácter",2,"26"
"Área Urbana de Interés","AREAM","Carácter",2,"27"
"Área Urbana de Interés","AREAM","Carácter",2,"28"
"Área Urbana de Interés","AREAM","Carácter",2,"29"
"Área Urbana de Interés","AREAM","Carácter",2,"31"
"Área Urbana de Interés","AREAM","Carácter",2,"32"
"Área Urbana de Interés","AREAM","Carácter",2,"33"
"Área Urbana de Interés","AREAM","Carácter",2,"36"
"Área Urbana de Interés","AREAM","Carácter",2,"39"
"Área Urbana de Interés","AREAM","Carácter",2,"40"
"Área Urbana de Interés","AREAM","Carácter",2,"41"
"Área Urbana de Interés","AREAM","Carácter",2,"43"
"Área Urbana de Interés","AREAM","Carácter",2,"b"
"Clave Entidad","CVE_ENT","Carácter",2,"01,…,32"
"Nombre de la Entidad","NOM_ENT","Texto",250,"NA"
"Municipio","CVE_MUN","Carácter",3,"001,…,570"
"Nombre del municipio","NOM_MUN","Texto",250,"NA"
"Hogar propietario de automóvil, camioneta o camión","AP6_1_1","Numérico",1,"1"
"Hogar propietario de automóvil, camioneta o camión","AP6_1_1","Numérico",1,"2"
"Hogar propietario de automóvil, camioneta o camión","AP6_1_1","Numérico",1,"9"
"Número de vehículos (automóviles, camionetas o camiones) propiedad del hogar","AP6_1_2","Numérico",2,"01,…,98"
"Número de vehículos (automóviles, camionetas o camiones) propiedad del hogar","AP6_1_2","Numérico",2,"99"
"Número de vehículos (automóviles, camionetas o camiones) propiedad del hogar","AP6_1_2","Numérico",2,"b"
"Hogar víctima de delitos grupo A y B, antes de 2024","AP6_2","Numérico",1,"1"
"Hogar víctima de delitos grupo A y B, antes de 2024","AP6_2","Numérico",1,"2"
"Hogar víctima de delitos grupo A y B, antes de 2024","AP6_2","Numérico",1,"9"
"Hogar víctima de delitos grupo A y B, durante 2025","AP6_3","Numérico",1,"1"
"Hogar víctima de delitos grupo A y B, durante 2025","AP6_3","Numérico",1,"2"
"Hogar víctima de delitos grupo A y B, durante 2025","AP6_3","Numérico",1,"9"
"Hogar víctima de robo total de vehículo","AP6_4_01","Numérico",1,"1"
"Hogar víctima de robo total de vehículo","AP6_4_01","Numérico",1,"2"
"Hogar víctima de robo total de vehículo","AP6_4_01","Numérico",1,"9"
"Vehículo(s) robado(s) perteneciente(s) al hogar","AP6_5_01","Numérico",1,"1"
"Vehículo(s) robado(s) perteneciente(s) al hogar","AP6_5_01","Numérico",1,"2"
