"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01,…,3299999.99"
"Identificador del hogar seleccionado","ID_HOG","Alfanumérico",13,"0100001.01.01,…,3299999.99.99"
"Identificador persona","ID_PER","Alfanumérico",16,"0100001.01.01.01,…,3299999.99.99.30"
"Control de vivienda (UPM)","UPM","Carácter",7,"0100001,…,3299999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,…,99"
"Control del hogar","HOGAR","Carácter",2,"01,…,06"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"A"
"Resultado de la visita al hogar","RESUL_H","Alfanumérico",1,"B"
"Clave Entidad","CVE_ENT","Carácter",2,"01,…,32"
"Nombre de la Entidad","NOM_ENT","Texto",250,"NA"
"Municipio","CVE_MUN","Carácter",3,"001,…,570"
"Nombre del municipio","NOM_MUN","Texto",250,"NA"
"Número de renglón del informante","N_REN","Carácter",2,"01,…,30"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"1"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"2"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"3"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"4"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"5"
"Parentesco con el Jefe del Hogar","PAREN","Numérico",1,"6"
"Sexo","SEXO","Numérico",1,"1"
"Sexo","SEXO","Numérico",1,"2"
"Edad","EDAD","Carácter",2,"00"
"Edad","EDAD","Carácter",2,"01,…,96"
"Edad","EDAD","Carácter",2,"97"
"Edad","EDAD","Carácter",2,"98"
"Edad","EDAD","Carácter",2,"99"
"Código de selección","CODIGO","Numérico",1,"1"
"Código de selección","CODIGO","Numérico",1,"2"
"Código de selección","CODIGO","Numérico",1,"b"
"Nivel de instrucción","NIV","Carácter",2,"00"
"Nivel de instrucción","NIV","Carácter",2,"01"
"Nivel de instrucción","NIV","Carácter",2,"02"
"Nivel de instrucción","NIV","Carácter",2,"03"
"Nivel de instrucción","NIV","Carácter",2,"04"
"Nivel de instrucción","NIV","Carácter",2,"05"
"Nivel de instrucción","NIV","Carácter",2,"06"
"Nivel de instrucción","NIV","Carácter",2,"07"
"Nivel de instrucción","NIV","Carácter",2,"08"
"Nivel de instrucción","NIV","Carácter",2,"09"
"Nivel de instrucción","NIV","Carácter",2,"99"
"Nivel de instrucción","NIV","Carácter",2,"b"
"Grados de estudio","GRA","Numérico",1,"0,…,6"
"Grados de estudio","GRA","Numérico",1,"9"
"Grados de estudio","GRA","Numérico",1,"b"
"Condición de actividad","AP3_8","Numérico",1,"1"
"Condición de actividad","AP3_8","Numérico",1,"2"
"Condición de actividad","AP3_8","Numérico",1,"3"
"Condición de actividad","AP3_8","Numérico",1,"4"
"Condición de actividad","AP3_8","Numérico",1,"5"
"Condición de actividad","AP3_8","Numérico",1,"6"
"Condición de actividad","AP3_8","Numérico",1,"7"
"Condición de actividad","AP3_8","Numérico",1,"8"
"Condición de actividad","AP3_8","Numérico",1,"9"
"Condición de actividad","AP3_8","Numérico",1,"b"
"Verificación de actividad","AP3_9","Numérico",1,"1"
"Verificación de actividad","AP3_9","Numérico",1,"2"
"Verificación de actividad","AP3_9","Numérico",1,"3"
"Verificación de actividad","AP3_9","Numérico",1,"4"
"Verificación de actividad","AP3_9","Numérico",1,"b"
"Posición en la ocupación","AP3_10","Numérico",1,"1"
"Posición en la ocupación","AP3_10","Numérico",1,"2"
"Posición en la ocupación","AP3_10","Numérico",1,"3"
"Posición en la ocupación","AP3_10","Numérico",1,"4"
"Posición en la ocupación","AP3_10","Numérico",1,"5"
"Posición en la ocupación","AP3_10","Numérico",1,"b"
"Factor hogar","FAC_HOG","Numérico",6,"000001,…,999999"
"Factor hogar del área urbana de interés","FAC_HOG_AM","Numérico",6,"000001,…,999999"
"Dominio","DOMINIO","Alfanumérico",1,"U"
"Dominio","DOMINIO","Alfanumérico",1,"C"
"Dominio","DOMINIO","Alfanumérico",1,"R"
"Estrato de diseño muestral","EST_DIS","Carácter",3,"001,…,607"
"Unidad primaria de muestreo","UPM_DIS","Carácter",7,"0000001,…,9999999"
