"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",10,"0100001.01…3299999.99"
"Control de vivienda (UPM)","UPM","Carácter",7,"0100001…3299999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01…99"
"Área Urbana de Interés","AREAM","Carácter",2,"01"
"Área Urbana de Interés","AREAM","Carácter",2,"02"
"Área Urbana de Interés","AREAM","Carácter",2,"03"
"Área Urbana de Interés","AREAM","Carácter",2,"04"
"Área Urbana de Interés","AREAM","Carácter",2,"05"
"Área Urbana de Interés","AREAM","Carácter",2,"06"
"Área Urbana de Interés","AREAM","Carácter",2,"07"
"Área Urbana de Interés","AREAM","Carácter",2,"08"
"Área Urbana de Interés","AREAM","Carácter",2,"09"
"Área Urbana de Interés","AREAM","Carácter",2,"10"
"Área Urbana de Interés","AREAM","Carácter",2,"12"
"Área Urbana de Interés","AREAM","Carácter",2,"13"
"Área Urbana de Interés","AREAM","Carácter",2,"14"
"Área Urbana de Interés","AREAM","Carácter",2,"15"
"Área Urbana de Interés","AREAM","Carácter",2,"16"
"Área Urbana de Interés","AREAM","Carácter",2,"17"
"Área Urbana de Interés","AREAM","Carácter",2,"18"
"Área Urbana de Interés","AREAM","Carácter",2,"19"
"Área Urbana de Interés","AREAM","Carácter",2,"21"
"Área Urbana de Interés","AREAM","Carácter",2,"24"
"Área Urbana de Interés","AREAM","Carácter",2,"25"
"Área Urbana de Interés","AREAM","Carácter",2,"26"
"Área Urbana de Interés","AREAM","Carácter",2,"27"
"Área Urbana de Interés","AREAM","Carácter",2,"28"
"Área Urbana de Interés","AREAM","Carácter",2,"29"
"Área Urbana de Interés","AREAM","Carácter",2,"31"
"Área Urbana de Interés","AREAM","Carácter",2,"32"
"Área Urbana de Interés","AREAM","Carácter",2,"33"
"Área Urbana de Interés","AREAM","Carácter",2,"36"
"Área Urbana de Interés","AREAM","Carácter",2,"39"
"Área Urbana de Interés","AREAM","Carácter",2,"40"
"Área Urbana de Interés","AREAM","Carácter",2,"41"
"Área Urbana de Interés","AREAM","Carácter",2,"43"
"Área Urbana de Interés","AREAM","Carácter",2,"b"
"Clave Entidad","CVE_ENT","Carácter",2,"01,…,32"
"Nombre de la Entidad","NOM_ENT","Texto",250,"NA"
"Clave Municipio","CVE_MUN","Carácter",3,"001,…,570"
"Nombre del municipio","NOM_MUN","Texto",250,"NA"
"Resultado de la visita a la vivienda","RESULT_V","Carácter",2,"01"
"Resultado de la visita a la vivienda","RESULT_V","Carácter",2,"02"
"Resultado de la visita a la vivienda","RESULT_V","Carácter",2,"03"
"Resultado de la visita a la vivienda","RESULT_V","Carácter",2,"04"
"Clase de vivienda","AP1_1","Numérico",1,"1"
"Clase de vivienda","AP1_1","Numérico",1,"2"
"Clase de vivienda","AP1_1","Numérico",1,"3"
"Clase de vivienda","AP1_1","Numérico",1,"4"
"Clase de vivienda","AP1_1","Numérico",1,"5"
"Acceso a la vivienda","AP1_2","Numérico",1,"1"
"Acceso a la vivienda","AP1_2","Numérico",1,"2"
"Personas en la vivienda","AP2_1","Carácter",2,"01,...,99"
"Gasto común","AP2_2","Numérico",1,"1"
"Gasto común","AP2_2","Numérico",1,"2"
"Número de hogares","AP2_3","Carácter",2,"02,…,06"
"Número de hogares","AP2_3","Carácter",2,"b"
"Total de hogares  con información en la vivienda","NAP2_3","Carácter",2,"01,…,06"
"Factor vivienda","FAC_VIV","Numérico",6,"000001,…,999999"
"Factor vivienda del área urbana de interés","FAC_VIV_AM","Numérico",6,"000001,…,999999"
"Dominio","DOMINIO","Alfanumérico",1,"U"
"Dominio","DOMINIO","Alfanumérico",1,"C"
"Dominio","DOMINIO","Alfanumérico",1,"R"
"Estrato de diseño muestral","EST_DIS","Carácter",3,"001,…,607"
"Unidad primaria de muestreo","UPM_DIS","Carácter",7,"0000001,…,9999999"
